player_sum,dealer_showing,soft,double_possible,split_possible,true_count,action
5,10,False,True,False,-9,draw
5,10,False,True,False,-8,draw
5,10,False,True,False,-7,double
5,10,False,True,False,-6,double
5,10,False,True,False,-5,double
5,10,False,True,False,-4,double
5,10,False,True,False,-3,double
5,10,False,True,False,-2,draw
5,10,False,True,False,-1,double
5,10,False,True,False,0,double
5,10,False,True,False,1,double
5,10,False,True,False,2,double
5,10,False,True,False,3,double
5,10,False,True,False,4,draw
5,10,False,True,False,5,draw
5,10,False,True,False,6,draw
5,10,False,True,False,7,draw
5,10,False,True,False,8,draw
5,10,False,True,False,9,draw
5,10,False,True,False,10,draw
5,11,False,True,False,-10,draw
5,11,False,True,False,-8,stand
5,11,False,True,False,-7,draw
5,11,False,True,False,-6,draw
5,11,False,True,False,-5,draw
5,11,False,True,False,-4,draw
5,11,False,True,False,-3,draw
5,11,False,True,False,-2,draw
5,11,False,True,False,-1,draw
5,11,False,True,False,0,draw
5,11,False,True,False,1,draw
5,11,False,True,False,2,draw
5,11,False,True,False,3,draw
5,11,False,True,False,4,draw
5,11,False,True,False,5,draw
5,11,False,True,False,6,draw
5,11,False,True,False,7,draw
5,11,False,True,False,8,draw
5,11,False,True,False,9,stand
5,11,False,True,False,10,draw
5,11,False,True,False,11,draw
6,2,False,False,False,-2,stand
6,2,False,False,False,0,stand
6,2,False,False,False,1,stand
6,2,False,False,False,2,draw
6,2,False,False,False,4,draw
6,2,False,True,False,-9,double
6,2,False,True,False,-8,stand
6,2,False,True,False,-7,stand
6,2,False,True,False,-6,stand
6,2,False,True,False,-5,double
6,2,False,True,False,-4,draw
6,2,False,True,False,-3,double
6,2,False,True,False,-2,draw
6,2,False,True,False,-1,double
6,2,False,True,False,0,double
6,2,False,True,False,1,double
6,2,False,True,False,2,double
6,2,False,True,False,3,double
6,2,False,True,False,4,double
6,2,False,True,False,5,double
6,2,False,True,False,6,draw
6,2,False,True,False,7,double
6,2,False,True,False,8,stand
6,2,False,True,False,9,double
6,2,False,True,False,10,double
6,2,False,True,False,11,stand
6,2,False,True,False,12,stand
6,2,False,True,False,13,stand
6,2,False,True,True,-6,draw
6,2,False,True,True,-5,stand
6,2,False,True,True,-4,draw
6,2,False,True,True,-3,double
6,2,False,True,True,-2,stand
6,2,False,True,True,-1,double
6,2,False,True,True,0,double
6,2,False,True,True,1,double
6,2,False,True,True,2,double
6,2,False,True,True,3,double
6,2,False,True,True,4,double
6,2,False,True,True,5,double
6,2,False,True,True,6,draw
6,2,False,True,True,7,draw
6,2,False,True,True,8,double
6,2,False,True,True,9,stand
6,2,False,True,True,10,stand
6,3,False,False,False,-7,stand
6,3,False,False,False,0,stand
6,3,False,False,False,1,stand
6,3,False,False,False,2,draw
6,3,False,False,False,3,stand
6,3,False,False,False,8,stand
6,3,False,True,False,-9,stand
6,3,False,True,False,-8,double
6,3,False,True,False,-7,stand
6,3,False,True,False,-6,draw
6,3,False,True,False,-5,stand
6,3,False,True,False,-4,draw
6,3,False,True,False,-3,double
6,3,False,True,False,-2,double
6,3,False,True,False,-1,double
6,3,False,True,False,0,double
6,3,False,True,False,1,double
6,3,False,True,False,2,double
6,3,False,True,False,3,double
6,3,False,True,False,4,double
6,3,False,True,False,5,double
6,3,False,True,False,6,double
6,3,False,True,False,7,double
6,3,False,True,False,8,stand
6,3,False,True,False,9,double
6,3,False,True,False,10,stand
6,3,False,True,False,11,draw
6,3,False,True,True,-8,split
6,3,False,True,True,-7,double
6,3,False,True,True,-6,draw
6,3,False,True,True,-5,double
6,3,False,True,True,-4,double
6,3,False,True,True,-3,draw
6,3,False,True,True,-2,double
6,3,False,True,True,-1,double
6,3,False,True,True,0,double
6,3,False,True,True,1,double
6,3,False,True,True,2,double
6,3,False,True,True,3,double
6,3,False,True,True,4,double
6,3,False,True,True,5,split
6,3,False,True,True,6,double
6,3,False,True,True,7,double
6,3,False,True,True,8,stand
6,3,False,True,True,9,double
6,3,False,True,True,10,double
6,3,False,True,True,12,split
6,4,False,False,False,-5,draw
6,4,False,False,False,-3,stand
6,4,False,False,False,-2,stand
6,4,False,False,False,-1,stand
6,4,False,False,False,0,draw
6,4,False,False,False,1,draw
6,4,False,False,False,2,stand
6,4,False,False,False,3,stand
6,4,False,False,False,4,draw
6,4,False,False,False,5,draw
6,4,False,False,False,7,draw
6,4,False,True,False,-10,stand
6,4,False,True,False,-8,draw
6,4,False,True,False,-7,double
6,4,False,True,False,-6,draw
6,4,False,True,False,-5,double
6,4,False,True,False,-4,double
6,4,False,True,False,-3,double
6,4,False,True,False,-2,double
6,4,False,True,False,-1,draw
6,4,False,True,False,0,double
6,4,False,True,False,1,double
6,4,False,True,False,2,double
6,4,False,True,False,3,double
6,4,False,True,False,4,double
6,4,False,True,False,5,double
6,4,False,True,False,6,double
6,4,False,True,False,7,double
6,4,False,True,False,8,stand
6,4,False,True,False,9,double
6,4,False,True,False,10,stand
6,4,False,True,False,11,double
6,4,False,True,False,12,stand
6,4,False,True,False,13,stand
6,4,False,True,True,-8,stand
6,4,False,True,True,-7,stand
6,4,False,True,True,-6,split
6,4,False,True,True,-5,draw
6,4,False,True,True,-4,double
6,4,False,True,True,-3,draw
6,4,False,True,True,-2,double
6,4,False,True,True,-1,double
6,4,False,True,True,0,double
6,4,False,True,True,1,double
6,4,False,True,True,2,double
6,4,False,True,True,3,double
6,4,False,True,True,4,double
6,4,False,True,True,5,double
6,4,False,True,True,6,split
6,4,False,True,True,7,draw
6,4,False,True,True,8,draw
6,4,False,True,True,9,split
6,4,False,True,True,10,double
6,5,False,False,False,-1,stand
6,5,False,False,False,1,draw
6,5,False,False,False,4,draw
6,5,False,False,False,7,stand
6,5,False,True,False,-9,double
6,5,False,True,False,-8,double
6,5,False,True,False,-7,draw
6,5,False,True,False,-6,double
6,5,False,True,False,-5,draw
6,5,False,True,False,-4,double
6,5,False,True,False,-3,double
6,5,False,True,False,-2,double
6,5,False,True,False,-1,double
6,5,False,True,False,0,double
6,5,False,True,False,1,double
6,5,False,True,False,2,double
6,5,False,True,False,3,double
6,5,False,True,False,4,double
6,5,False,True,False,5,double
6,5,False,True,False,6,double
6,5,False,True,False,7,double
6,5,False,True,False,8,double
6,5,False,True,False,9,double
6,5,False,True,False,10,draw
6,5,False,True,False,11,draw
6,5,False,True,False,12,draw
6,5,False,True,False,13,stand
6,5,False,True,True,-8,stand
6,5,False,True,True,-7,draw
6,5,False,True,True,-6,stand
6,5,False,True,True,-5,split
6,5,False,True,True,-4,double
6,5,False,True,True,-3,double
6,5,False,True,True,-2,double
6,5,False,True,True,-1,draw
6,5,False,True,True,0,double
6,5,False,True,True,1,double
6,5,False,True,True,2,double
6,5,False,True,True,3,double
6,5,False,True,True,4,double
6,5,False,True,True,5,split
6,5,False,True,True,6,draw
6,5,False,True,True,7,split
6,5,False,True,True,8,split
6,5,False,True,True,9,split
6,5,False,True,True,10,stand
6,5,False,True,True,11,double
6,5,False,True,True,12,draw
6,6,False,False,False,-2,draw
6,6,False,False,False,0,draw
6,6,False,False,False,1,draw
6,6,False,False,False,2,draw
6,6,False,False,False,3,draw
6,6,False,False,False,4,draw
6,6,False,False,False,5,draw
6,6,False,False,False,6,stand
6,6,False,False,False,10,draw
6,6,False,True,False,-10,stand
6,6,False,True,False,-9,stand
6,6,False,True,False,-8,stand
6,6,False,True,False,-7,stand
