player_sum,dealer_showing,soft,double_possible,split_possible,action,return
5,6,False,False,False,stand,-0.1625
5,6,False,False,False,draw,0.033057870967741924
5,7,False,True,False,stand,-0.4922716569767442
5,7,False,True,False,draw,-0.1448918429003021
5,7,False,True,False,double,-0.8928091603053434
5,7,False,False,False,stand,-1.0
5,7,False,False,False,draw,-0.18543074999999998
5,8,False,True,False,stand,-0.4765840220385675
5,8,False,True,False,draw,-0.20827992612791277
5,8,False,True,False,double,-1.0523221374045801
5,8,False,False,False,stand,-1.0
5,8,False,False,False,draw,-0.36109845000000007
5,9,False,True,False,stand,-0.5699248120300752
5,9,False,True,False,draw,-0.25142902619871477
5,9,False,True,False,double,-1.0452495974235105
5,9,False,False,False,stand,-1.0
5,9,False,False,False,draw,-0.4795245
5,10,False,True,False,stand,-0.6047806576402321
5,10,False,True,False,draw,-0.3152775296444311
5,10,False,True,False,double,-1.1789803398243606
5,10,False,False,False,stand,-0.3468333333333333
5,10,False,False,False,draw,-0.37170000000000003
5,11,False,True,False,stand,-0.7846153846153846
5,11,False,True,False,draw,-0.4068565270085002
5,11,False,True,False,double,-1.5323854660347551
5,11,False,False,False,stand,-1.0
5,11,False,False,False,draw,-0.8130000000000001
6,2,False,True,True,stand,-0.31601731601731603
6,2,False,True,True,draw,-0.15967912785774768
6,2,False,True,True,double,-0.4782608695652174
6,2,False,True,True,split,-0.185039586236993
6,2,False,True,False,stand,-0.29980737018425463
6,2,False,True,False,draw,-0.15428884381338742
6,2,False,True,False,double,-0.6176048689138577
6,2,False,False,True,stand,0
6,2,False,False,True,draw,0
6,2,False,False,True,split,0
6,2,False,False,False,stand,-0.8166666666666668
6,2,False,False,False,draw,-0.05461857692307692
6,3,False,True,True,stand,-0.16521739130434782
6,3,False,True,True,draw,-0.11853732057416269
6,3,False,True,True,double,-0.2736842105263158
6,3,False,True,True,split,-0.13564261702702704
6,3,False,True,False,stand,-0.24843840399002493
6,3,False,True,False,draw,-0.10474073684210528
6,3,False,True,False,double,-0.46277913862718706
6,3,False,False,True,stand,0
6,3,False,False,True,draw,0
6,3,False,False,True,split,0
6,3,False,False,False,stand,-0.23354166666666665
6,3,False,False,False,draw,-0.10547483333333331
6,4,False,True,True,stand,-0.19047619047619047
6,4,False,True,True,draw,-0.09187623529411765
6,4,False,True,True,double,-0.18518518518518517
6,4,False,True,True,split,0.0688172170642202
6,4,False,True,False,stand,-0.19263620386643235
6,4,False,True,False,draw,-0.09675365313653138
6,4,False,True,False,double,-0.37670250896057345
6,4,False,False,True,stand,0
6,4,False,False,True,draw,0
6,4,False,False,True,split,0
6,4,False,False,False,stand,-0.07806451612903226
6,4,False,False,False,draw,-0.009567692307692296
6,5,False,True,True,stand,-0.23404255319148937
6,5,False,True,True,draw,-0.11825581395348839
6,5,False,True,True,double,-0.22448979591836735
6,5,False,True,True,split,0.22660340564823211
6,5,False,True,False,stand,-0.03200404448938321
6,5,False,True,False,draw,-0.030335772492931987
6,5,False,True,False,double,-0.08336747759282971
6,5,False,False,True,stand,0
6,5,False,False,True,draw,0
6,5,False,False,True,split,0
6,5,False,False,False,stand,-0.9333333333333332
6,5,False,False,False,draw,-0.25651928279999997
6,6,False,True,True,stand,-0.12568306010928962
6,6,False,True,True,draw,0.033210526315789496
6,6,False,True,True,double,-0.5027932960893855
6,6,False,True,True,split,0.2027927020138055
6,6,False,True,False,stand,-0.13335589005235604
6,6,False,True,False,draw,-0.024456543128894722
6,6,False,True,False,double,-0.16573720930232558
6,6,False,False,True,stand,0
6,6,False,False,True,draw,0
6,6,False,False,True,split,0
6,6,False,False,False,stand,-0.14300000000000002
6,6,False,False,False,draw,-0.18225803571428573
6,7,False,True,True,stand,-0.550561797752809
6,7,False,True,True,draw,-0.18619686121728904
6,7,False,True,True,double,-0.5882352941176471
6,7,False,True,True,split,-0.33977935716763
6,7,False,True,False,stand,-0.48739178515007897
6,7,False,True,False,draw,-0.1815398618063112
6,7,False,True,False,double,-0.9196638888888887
6,7,False,False,True,stand,0
6,7,False,False,True,draw,0
6,7,False,False,True,split,0
6,7,False,False,False,stand,-0.66875
6,7,False,False,False,draw,-0.20085467553191488
6,8,False,True,True,stand,-0.5255813953488372
6,8,False,True,True,draw,-0.22168265144454802
6,8,False,True,True,double,-0.8248587570621468
6,8,False,True,True,split,-0.24635868882352938
6,8,False,True,False,stand,-0.5151900709219858
6,8,False,True,False,draw,-0.2330086942850839
6,8,False,True,False,double,-0.9712721893491123
6,8,False,False,True,stand,0
6,8,False,False,True,draw,0
6,8,False,False,True,split,0
6,8,False,False,False,stand,-0.5
6,8,False,False,False,draw,-0.25456400735294116
6,9,False,True,True,stand,-0.5056179775280899
6,9,False,True,True,draw,-0.2857555034053894
6,9,False,True,True,double,-1.108695652173913
6,9,False,True,True,split,-0.3358152914684211
6,9,False,True,False,stand,-0.5088235294117647
6,9,False,True,False,draw,-0.2931678473893366
6,9,False,True,False,double,-1.1215976331360948
6,9,False,False,True,stand,0
6,9,False,False,True,draw,0
6,9,False,False,True,split,0
6,9,False,False,False,stand,-0.6
6,9,False,False,False,draw,-0.25837529880478094
6,10,False,True,True,stand,-0.5702075702075702
6,10,False,True,True,draw,-0.3393797812083519
6,10,False,True,True,double,-1.1090425531914894
6,10,False,True,True,split,-0.49413425367672414
6,10,False,True,False,stand,-0.5896024437548487
6,10,False,True,False,draw,-0.34425592129237004
6,10,False,True,False,double,-1.1415515843773028
6,10,False,False,True,stand,0
6,10,False,False,True,draw,0
6,10,False,False,True,split,0
6,10,False,False,False,stand,-0.7288135593220338
6,10,False,False,False,draw,-0.3328259403254974
6,11,False,True,True,stand,-0.8153846153846154
6,11,False,True,True,draw,-0.42932469569080417
6,11,False,True,True,double,-1.4607843137254901
6,11,False,True,True,split,-0.6625260507692308
6,11,False,True,False,stand,-0.7899102132435465
6,11,False,True,False,draw,-0.4248812529216721
6,11,False,True,False,double,-1.557019667170953
6,11,False,False,True,stand,0
6,11,False,False,True,draw,0
6,11,False,False,True,split,0
6,11,False,False,False,stand,-0.8
6,11,False,False,False,draw,-0.5091153460714285
7,2,False,True,False,stand,-0.3028951342281879
7,2,False,True,False,draw,-0.1270972710036366
7,2,False,True,False,double,-0.44132969307637404
7,2,False,False,False,stand,-0.44807692307692304
7,2,False,False,False,draw,-0.15361583916083915
7,3,False,True,False,stand,-0.2085780757097792
7,3,False,True,False,draw,-0.08661500633635212
7,3,False,True,False,double,-0.34984495488105005
7,3,False,False,False,stand,-0.1265
7,3,False,False,False,draw,-0.09776603957273654
7,4,False,True,False,stand,-0.1874137129575828
7,4,False,True,False,draw,-0.02514040953699044
7,4,False,True,False,double,-0.24943292181069956
7,4,False,False,False,stand,-0.25612244897959185
7,4,False,False,False,draw,-0.036015882352941175
7,5,False,True,False,stand,-0.04350863895680523
7,5,False,True,False,draw,0.02602923922152901
7,5,False,True,False,double,-0.11616873134328358
7,5,False,False,False,stand,-0.14411764705882352
